Image.Name,Hour,Minute,Sec,Summary.Statistic,Area,Average.intensity,Total.intensity,Image,Overlay,Treatment,NormAvgAVG,NormAvgTOT,Dissociation,SLIDE,Time,Label
Blue,4:01,1:06,1,Average,0.070673488,15089.37012,152211.5313,mk_9.tif,GRB_B,MK4256,1.109036647,1.305719339,VC2786,VC2786_S5,24H,MK_1
Red,31:00:00,19:00,228,Average,0.102802075,18451.88477,281929.4375,Copy of Image 11_Maximum intensity projection.tif,GRB_R,CTL,1.155607022,1.263917424,VC2792,VC2792_S1,24H,CTL
Red,36:00:00,12:00,720,Average,0.089788593,16442.98242,212797.625,Copy of Image 6_Maximum intensity projection.tif,GRB_R,CTL,1.029793227,0.953992702,VC2792,VC2792_S1,24H,CTL
Red,39:00:00,6:00,169,Average,0.083874375,13389.00879,158441.1094,Copy of Image 8_Maximum intensity projection.tif,GRB_R,CTL,0.838528572,0.710307092,VC2792,VC2792_S1,24H,CTL
Red,40:00:00,44:00:00,192,Average,0.095519997,16986.22461,264122.9688,Copy of Image 9_Maximum intensity projection.tif,GRB_R,CTL,1.063815469,1.184089272,VC2792,VC2792_S1,24H,CTL
Red,44:00:00,54:00:00,269,Average,0.090103775,13508.1748,174322.8594,Copy of Image 33_Maximum intensity projection.tif,GRB_R,CTL,0.845991716,0.78150654,VC2792,VC2792_S2,24H,CTL
Red,46:00:00,53:00:00,107,Average,0.088828497,16256.65137,206068.8125,Copy of Image 34_Maximum intensity projection.tif,GRB_R,CTL,1.018123662,0.923826774,VC2792,VC2792_S2,24H,CTL
Red,48:00:00,53:00:00,126,Average,0.106235981,16735.93555,263737.2813,Copy of Image 40_Maximum intensity projection.tif,GRB_R,CTL,1.048140333,1.182360197,VC2792,VC2792_S2,24H,CTL
Red,21:00,20:00,208,Average,0.073274866,11621.66309,120652.0469,Copy of Image 39_Maximum intensity projection.tif,GRB_R,L7,0.727843017,0.540895004,VC2792,VC2792_S6,24H,L_2
Red,24:00:00,8:00,298,Average,0.050808512,12924.14258,91762.42969,Copy of Image 22_Maximum intensity projection.tif,GRB_R,L7,0.809414871,0.411380006,VC2792,VC2792_S7,24H,L_2
Red,27:00:00,11:00,290,Average,0.082261413,12434.70801,156946.3906,Copy of Image 23_Maximum intensity projection.tif,GRB_R,L7,0.778762499,0.70360612,VC2792,VC2792_S7,24H,L_2
Red,28:00:00,51:00:00,956,Average,0.074398175,10436.90625,109136.875,Copy of Image 24_Maximum intensity projection.tif,GRB_R,L7,0.653643913,0.489271355,VC2792,VC2792_S7,24H,L_2
Red,30:00:00,36:00:00,964,Average,0.039195139,13968.375,72328.60156,Copy of Image 25_Maximum intensity projection.tif,GRB_R,L7,0.874813194,0.324256241,VC2792,VC2792_S7,24H,L_2
Red,32:00:00,35:00:00,171,Average,0.075607903,17443.17773,188080.0469,Copy of Image 1_Maximum intensity projection.tif,GRB_R,MK4256,1.092433588,0.843181366,VC2792,VC2792_S8,24H,MK_1
Red,34:00:00,24:00:00,146,Average,0.103633232,17006.48828,254164.1094,Copy of Image 3_Maximum intensity projection.tif,GRB_R,MK4256,1.065084544,1.139442724,VC2792,VC2792_S8,24H,MK_1
Red,35:00:00,56:00:00,439,Average,0.080878861,13057.82422,150970.7969,Copy of Image 5_Maximum intensity projection.tif,GRB_R,MK4256,0.817787102,0.676816945,VC2792,VC2792_S8,24H,MK_1
Red,38:00:00,57:00:00,41,Average,0.103885263,16102.11328,233237.0625,Copy of Image 28_Maximum intensity projection.tif,GRB_R,MK4256,1.00844523,1.045624713,VC2792,VC2792_S9,24H,MK_1
Red,43:00:00,23:00,229,Average,0.101617031,16172.63672,249473.5,Copy of Image 30_Maximum intensity projection.tif,GRB_R,MK4256,1.012861981,1.118414261,VC2792,VC2792_S9,24H,MK_1
Red,45:00:00,58:00:00,376,Average,0.059103776,14826.70313,119647.8594,Copy of Image 31_Maximum intensity projection.tif,GRB_R,MK4256,0.928568678,0.536393133,VC2792,VC2792_S9,24H,MK_1
Blue,31:00:00,19:00,298,Average,0.102802075,13890.29102,222361.9219,Copy of Image 11_Maximum intensity projection.tif,GRB_B,CTL,1.036607628,1.11937984,VC2792,VC2792_S1,24H,CTL
Blue,36:00:00,12:00,826,Average,0.089788593,11062.38281,146656.3281,Copy of Image 6_Maximum intensity projection.tif,GRB_B,CTL,0.825565886,0.738274502,VC2792,VC2792_S1,24H,CTL
Blue,39:00:00,6:00,219,Average,0.083874375,11935.13281,142628.7813,Copy of Image 8_Maximum intensity projection.tif,GRB_B,CTL,0.89069766,0.717999652,VC2792,VC2792_S1,24H,CTL
Blue,40:00:00,44:00:00,262,Average,0.095519997,16402.49219,261664.5938,Copy of Image 9_Maximum intensity projection.tif,GRB_B,CTL,1.224088718,1.317231245,VC2792,VC2792_S1,24H,CTL
Blue,44:00:00,54:00:00,329,Average,0.090103775,13980.76465,200009.1094,Copy of Image 33_Maximum intensity projection.tif,GRB_B,CTL,1.043359514,1.006854784,VC2792,VC2792_S2,24H,CTL
Blue,46:00:00,53:00:00,177,Average,0.088828497,13426.19238,177893.7813,Copy of Image 34_Maximum intensity projection.tif,GRB_B,CTL,1.001972775,0.895525236,VC2792,VC2792_S2,24H,CTL
Blue,48:00:00,53:00:00,186,Average,0.106235981,13101.04785,239317.4531,Copy of Image 40_Maximum intensity projection.tif,GRB_B,CTL,0.977707819,1.204734741,VC2792,VC2792_S2,24H,CTL
Blue,21:00,20:00,328,Average,0.073274866,12241.48242,137160.5781,Copy of Image 39_Maximum intensity projection.tif,GRB_B,L7,0.913559985,0.690472473,VC2792,VC2792_S6,24H,L_2
Blue,24:00:00,8:00,409,Average,0.050808512,11291.20801,74119.57031,Copy of Image 22_Maximum intensity projection.tif,GRB_B,L7,0.842642702,0.373121225,VC2792,VC2792_S7,24H,L_2
Blue,27:00:00,11:00,375,Average,0.082261413,9147.933594,119687.3906,Copy of Image 23_Maximum intensity projection.tif,GRB_B,L7,0.682693957,0.602511667,VC2792,VC2792_S7,24H,L_2
Blue,28:00:00,52:00:00,38,Average,0.074398175,9541.251953,96355.875,Copy of Image 24_Maximum intensity projection.tif,GRB_B,L7,0.712046605,0.485059776,VC2792,VC2792_S7,24H,L_2
Blue,30:00:00,37:00:00,56,Average,0.039195139,6409.5,40365.60156,Copy of Image 25_Maximum intensity projection.tif,GRB_B,L7,0.478329546,0.20320224,VC2792,VC2792_S7,24H,L_2
Blue,32:00:00,35:00:00,234,Average,0.075607903,9875.47168,118055.625,Copy of Image 1_Maximum intensity projection.tif,GRB_B,MK4256,0.736988826,0.594297286,VC2792,VC2792_S8,24H,MK_1
Blue,34:00:00,24:00:00,216,Average,0.103633232,12408.87305,184466.7188,Copy of Image 3_Maximum intensity projection.tif,GRB_B,MK4256,0.926052049,0.928613696,VC2792,VC2792_S8,24H,MK_1
Blue,35:00:00,56:00:00,509,Average,0.080878861,14571.08789,172744,Copy of Image 5_Maximum intensity projection.tif,GRB_B,MK4256,1.087414284,0.869601007,VC2792,VC2792_S8,24H,MK_1
Blue,38:00:00,57:00:00,110,Average,0.103885263,10259.5459,168223.875,Copy of Image 28_Maximum intensity projection.tif,GRB_B,MK4256,0.7656516,0.846846496,VC2792,VC2792_S9,24H,MK_1
Blue,43:00:00,23:00,318,Average,0.101617031,9630.183594,147751.7188,Copy of Image 30_Maximum intensity projection.tif,GRB_B,MK4256,0.718683414,0.743788748,VC2792,VC2792_S9,24H,MK_1
Blue,45:00:00,58:00:00,476,Average,0.059103776,11753.57813,106641.4297,Copy of Image 31_Maximum intensity projection.tif,GRB_B,MK4256,0.877148559,0.536837717,VC2792,VC2792_S9,24H,MK_1
Red,8:02,3:05,91,Average,0.070769005,15105.80176,152913.0469,Copy of Image 35_Maximum intensity projection.tif,GRB_R,CTL,0.878031627,0.590783662,VC2794,VC2794_S1,24H,CTL
Red,0:00,8:09,4,Average,0.115818158,19592.85547,336328.3125,Copy of Image 37_Maximum intensity projection.tif,GRB_R,CTL,1.138843674,1.299413465,VC2794,VC2794_S1,24H,CTL
Red,1:01,5:01,42,Average,0.136941046,17875.12891,347402.0625,Copy of Image 40_Maximum intensity projection.tif,GRB_R,CTL,1.039000033,1.342197195,VC2794,VC2794_S1,24H,CTL
Red,2:03,7:05,38,Average,0.088189065,14736.78613,196767.5,Copy of Image 51_Maximum intensity projection.tif,GRB_R,CTL,0.856582425,0.760216519,VC2794,VC2794_S2,24H,CTL
Red,3:02,9:07,83,Average,0.075970836,14977.86621,160996.7969,Copy of Image 53_Maximum intensity projection.tif,GRB_R,CTL,0.870595315,0.622015447,VC2794,VC2794_S2,24H,CTL
Red,44:00:00,35:00:00,176,Average,0.103068702,14118.35547,236638,CTL 10.tif,GRB_R,CTL,0.820635861,0.914257266,VC2794,VC2794_S7,24H,CTL
Red,48:00:00,4:00,930,Average,0.10142602,24022.36719,380770.3438,CTL8.tif,GRB_R,CTL,1.396311066,1.471116446,VC2794,VC2794_S7,24H,CTL
